Initiative,Operating,Project_Definition,Project_Name,Actual_YTD_sum,Plan_FY_sum,Forecast_sum
Cecile Paris,Other Operating,R-91279,Group - Knowledge Discovery & Management,17673,139000,7000
Data Science Application,External Revenue,R-11577,Digital Lease - SIEF STEM Project,0,-130170,-130170
Data Science Application,External Revenue,R-12648,SLNSW: Multilingual NLP,0,0,0
Data Science Application,External Revenue,R-12815,NDIS workforce needs,-38690,-111111,-72421
Data Science Application,External Revenue,R-12870,Pr19-3: Research Services Water Grant,-245000,0,0
Data Science Application,External Revenue,R-13939,Emergency Management: Tech surprise pape,0,-13636,0
Data Science Application,Other Operating,R-10441,Research Office Post doc Social Media (S,0,37000,0
Data Science Application,Other Operating,R-11577,Digital Lease - SIEF STEM Project,8155,17000,8845
Data Science Application,Other Operating,R-12271,PH FSP Medical Decision Support - DATA61,1443,5000,3854
Data Science Application,Other Operating,R-12622,LASC Client-informed SocMedAnalysis Plat,0,0,0
Data Science Application,Other Operating,R-12648,SLNSW: Multilingual NLP,148,0,0
Data Science Application,Other Operating,R-12793,Research Office Post doc Social Media (S,6167,40000,34657
Data Science Application,Other Operating,R-12815,NDIS workforce needs,168,7000,0
Data Science Application,Other Operating,R-12870,Pr19-3: Research Services Water Grant,0,2000,0
Data Science Application,Other Operating,R-13814,Initiative: Social Insights and Market D,162,26000,0
Data Science Application,Other Operating,R-14215,QLD Big Data Challenge: Detecting Cyberb,0,15000,0
Digital Human,Other Operating,R-13851,Initiative: Digital Human,90,8000,7910
Environmental & Biological,External Revenue,R-11610,SAGI-North Project,-23799,-161823,-138024
Environmental & Biological,External Revenue,R-12646,LineSight ongoing development,0,0,0
Environmental & Biological,External Revenue,R-13504,Improving process efficiency and certain,-100000,-100000,0
Environmental & Biological,External Revenue,R-90434,AgriEnv Informatic Group Operating Cost,0,-26000,0
Environmental & Biological,Other Operating,R-11610,SAGI-North Project,0,10368,0
Environmental & Biological,Other Operating,R-12581,Deep Earth Imaging Post-doc Supervision,0,1750,0
Environmental & Biological,Other Operating,R-12646,LineSight ongoing development,0,0,0
Environmental & Biological,Other Operating,R-13504,Improving process efficiency and certain,11,300,0
Environmental & Biological,Other Operating,R-13720,PFOD-OzCrop,3026,5000,2741
Environmental & Biological,Other Operating,R-13859,Initiative: Environment and Biological A,0,16000,0
Environmental & Biological,Other Operating,R-90434,AgriEnv Informatic Group Operating Cost,14541,213900,0
Gary Delaney,Other Operating,R-91283,Group - Computational Modelling,20439,133800,132569
Industrial Device Optimisation,External Revenue,R-10898,Millsim Maintenance and Support 2017/201,0,-62244,0
Industrial Device Optimisation,External Revenue,R-11187,NSSMC Spray Cooling Stage 3B,0,-33000,0
Industrial Device Optimisation,External Revenue,R-11440,Millsim extension,0,0,0
Industrial Device Optimisation,External Revenue,R-12652,Seed termination: stage 1,0,-53739,0
Industrial Device Optimisation,External Revenue,R-13387,DEM simulation of a 36’ SAG mill,0,0,0
Industrial Device Optimisation,Other Operating,R-10898,Millsim Maintenance and Support 2017/201,0,0,0
Industrial Device Optimisation,Other Operating,R-11440,Millsim extension,0,0,0
Industrial Device Optimisation,Other Operating,R-13387,DEM simulation of a 36’ SAG mill,0,1000,0
Industrial Device Optimisation,Other Operating,R-13849,Initiative: CM/AI for Design Optimisatio,0,1,0
Industrial Transformation,External Revenue,R-10504,Apollo Campervans - DVASS,-40862,-63000,-22138
Industrial Transformation,External Revenue,R-12754,Boeing: Workspace Live Metrology 2019 P1,-26773,0,0
Industrial Transformation,External Revenue,R-12782,Factory Flow Optimisation - Phase 5,-111286,0,0
Industrial Transformation,External Revenue,R-13576,Pr19-2 NSW SP: Forecasting school infras,0,0,0
Industrial Transformation,External Revenue,R-13761,Boeing: Workspace Live Metrology 2019 P2,-348706,-736143,-387437
Industrial Transformation,Other Operating,R-10504,Apollo Campervans - DVASS,0,0,0
Industrial Transformation,Other Operating,R-12754,Boeing: Workspace Live Metrology 2019 P1,9247,10000,969
Industrial Transformation,Other Operating,R-12782,Factory Flow Optimisation - Phase 5,0,10000,0
Industrial Transformation,Other Operating,R-13761,Boeing: Workspace Live Metrology 2019 P2,12765,83000,70235
Industrial Transformation,Other Operating,R-13847,Initiative: Industrial Tfm,7791,18000,10371
Klara Verbyla,Other Operating,R-90435,Biological Data Science Group - Operatin,3497,54000,0
Melanie Ayre,Other Operating,R-91275,Group - Optimisation & Financial Risk An,14446,90000,91224
Natural Hazards and Infrastructure,External Revenue,R-10890,Dust monitoring data analysis,-10560,0,0
Natural Hazards and Infrastructure,External Revenue,R-11079,Bushfire Case Study Guide,0,0,0
Natural Hazards and Infrastructure,External Revenue,R-11894,Spotfire Coalescence II: Extension,-37131,-166666,-129535
Natural Hazards and Infrastructure,External Revenue,R-11948,Resource Deployment and Optimisation in,-40625,0,0
Natural Hazards and Infrastructure,External Revenue,R-12875,Cropland fire behaviour research,-25000,-140000,-115000
Natural Hazards and Infrastructure,External Revenue,R-13474,Effectiveness of fire suppression resour,-88046,-265000,-176954
Natural Hazards and Infrastructure,External Revenue,R-13495,Modelling the  FOREMS wildfire suppressi,0,-25000,0
Natural Hazards and Infrastructure,External Revenue,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,0,-135000,0
Natural Hazards and Infrastructure,External Revenue,R-13694,Bushfire Evacuation Modelling Phase 2,-125000,-500000,-375000
Natural Hazards and Infrastructure,Other Operating,R-10890,Dust monitoring data analysis,8000,0,0
Natural Hazards and Infrastructure,Other Operating,R-11079,Bushfire Case Study Guide,0,2000,0
Natural Hazards and Infrastructure,Other Operating,R-11894,Spotfire Coalescence II: Extension,4393,14500,10107
Natural Hazards and Infrastructure,Other Operating,R-11916,Transferable Integrated tools for the cl,55,22000,0
Natural Hazards and Infrastructure,Other Operating,R-11948,Resource Deployment and Optimisation in,0,0,0
Natural Hazards and Infrastructure,Other Operating,R-12875,Cropland fire behaviour research,1026,11200,10632
Natural Hazards and Infrastructure,Other Operating,R-13474,Effectiveness of fire suppression resour,2235,24650,23883
Natural Hazards and Infrastructure,Other Operating,R-13495,Modelling the  FOREMS wildfire suppressi,0,-23000,0
Natural Hazards and Infrastructure,Other Operating,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,1529,8000,6471
Natural Hazards and Infrastructure,Other Operating,R-13694,Bushfire Evacuation Modelling Phase 2,760,16000,9240
Natural Hazards and Infrastructure,Other Operating,R-13850,Initiative - Natural Hazards and Infrast,-25270,14000,39280
Natural Hazards and Infrastructure,Other Operating,R-14234,Visualising the Impact of Mining Project,0,10000,0
Natural Hazards and Infrastructure,Other Operating,R-91277,Group - Natural Systems Modelling,11347,79200,75047
Not assigned,External Revenue,R-09657,Social media analytics with Signal,-26498,-26498,0
Not assigned,External Revenue,R-11754,Automated parking regulation solution,0,0,0
Not assigned,External Revenue,R-11758,Pr 18-07 SPA: Predictive Analytics for R,0,0,0
Not assigned,External Revenue,R-12177,Analytics on Inactives,0,0,0
Not assigned,External Revenue,R-12418,Happy Oyster - Challenge Project,0,0,0
Not assigned,External Revenue,R-12496,Consumer trust of food quality - from me,0,0,0
Not assigned,External Revenue,R-12560,V/Line Performance MVP,0,0,0
Not assigned,External Revenue,R-12643,Robust Learning for Decision Making,-90441,0,0
Not assigned,External Revenue,R-12803,Data-driven timetable evaluation model d,0,0,0
Not assigned,External Revenue,R-13293,Workflow Optimisation,-25000,-80000,-55000
Not assigned,External Revenue,R-13558,Data Strategy,-124140,0,0
Not assigned,External Revenue,R-13598,Towards noninvasive diagnosis of malaria,-40839,-38479,2360
Not assigned,External Revenue,R-13666,Risk Modelling Methodologies for NESA,-59091,-90909,-31818
Not assigned,External Revenue,R-13676,Pr19-8 NSW-SP: Timetable robustness (Ext,0,0,0
Not assigned,External Revenue,R-13677,Pr19-9 NSW-SP: Timetable Robustness (Ext,0,0,0
Not assigned,External Revenue,R-13854,Spark licensing,-15000,-15000,0
Not assigned,External Revenue,R-13927,An improved dry eucalypt forest fire spr,-16339,-85000,-68661
Not assigned,External Revenue,R-13968,New comminution device (MSI) stages 1 an,0,-89500,0
Not assigned,External Revenue,R-13973,R and Data mining course,0,-50000,0
Not assigned,External Revenue,R-90148,Analytics Program - Travel and Operating,0,0,0
Not assigned,External Revenue,R-90149,Analytics Program - Small Consultancies,-50033,-147412,-97379
Not assigned,External Revenue,R-90546,CRP- Analytics,0,0,0
Not assigned,External Revenue,R-91103,Australian Startup Ecosystem,13000,0,0
Not assigned,Other Operating,R-09657,Social media analytics with Signal,0,7000,0
Not assigned,Other Operating,R-10231,In-Kind AIM FSP_TB10_WP01: Virtual AM,0,0,0
